Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[7, 4, 13, 6, 18]	[[-45.269999999999996, 80.358], '1', '1', '0', '1']	-2.6678999999999995;4.047899999999999	0.9651031894934334	0.9651031894934334	1	240.9293481532348	4836	160	0.25	240.9293481532348	18	18	5	5	1	GA_MutationC
[7, 8]	[[367.563, 530.37], '0']	12.3613;16.5187	0.9392558079426948	0.9392558079426948	6	281.9573617529403	4990	162	0.1	1691.7441705176418	909	909	271	271	1	GA_CrossoverC_MutationC_RangeError
[7, 6, 17]	[[346.54949999999997, 504.8505], '0', '1']	12.3613;16.5187	0.8235982741406361	0.8235982741406361	1	239.56415180693915	4956	162	0.15	239.56415180693915	329	376	100	114	1	GA_CrossoverC_MutationC
[11, 2, 7]	['0', '0', [-45.269999999999996, 208.9995]]	-4.077;5.5169999999999995	0.6881755157772154	0.6881755157772154	1	289.0434274111528	4991	168	0.15	289.0434274111528	1399	1868	412	551	1	GA_CrossoverP_MutationC
[7, 8]	[[-45.269999999999996, 81.258], '0']	-4.077;5.5169999999999995	0.9201053513384138	0.9201053513384138	1	344.69698751624856	4991	168	0.1	344.69698751624856	544	544	162	162	1	GA_CrossoverP_MutationC
[13]	['1']	1.3422000000000005;8.3778	0.3957267673403375	0.3957267673403375	1	261.6066596912885	4991	170	0.05	261.6066596912885	921	2064	272	614	1	GA_CrossoverC_MutationC
[7]	[[346.54949999999997, 504.8505]]	8.1325;16.5187	0.8805478531312461	0.8805478531312461	1	246.2111654369231	4998	180	0.05	246.2111654369231	1355	1355	408	408	1	GA_CrossoverP
[5]	['0']	1.3422000000000005;8.3778	0.40327914846528423	0.40327914846528423	1	248.94095714335884	4964	189	0.05	248.94095714335884	1200	2654	361	798	1	GA_CrossoverC_MutationC
[6, 7]	['0', [-9.532499999999999, 206.3325]]	-2.9178999999999995;5.5169999999999995	0.6998693443364152	0.6998693443364152	1	281.56816851201864	4991	189	0.1	281.56816851201864	1356	1783	401	527	1	GA_CrossoverC_MutationC
[7, 0]	[[367.563, 530.37], '1']	12.3613;16.5187	0.9386013077700189	0.9386013077700189	1	301.9286979738869	4990	190	0.1	301.9286979738869	564	564	169	169	1	GA_MutationC
[7, 16]	[[367.563, 530.37], '1']	12.3613;16.5187	0.9392157288387887	0.9392157288387887	1	262.5931405047241	4956	190	0.1	262.5931405047241	397	397	121	121	1	GA_MutationC
[7]	[[162.3375, 319.70399999999995]]	5.6419999999999995;12.038	0.9141942749858074	0.9141942749858074	1	314.9339581078369	4993	201	0.05	293.4174476347961	1591	1591	477	477	1	GA_CrossoverC
